Sample,Host,Date (m/d/y),replicates,positive,hap
TL2.3888 (ID04),P. paniscus,12/12/12,8,1,1
TL2.3843 (ID05),P. paniscus,11/26/12,8,1,1
TL2.3812 (ID06),P. paniscus,11/19/12,8,3,1
TL2.3846 (ID15),P. paniscus,11/26/12,10,3,1
TL2.3882 (ID15),P. paniscus,12/12/12,8,2,1
TL2.3826 (ID18),P. paniscus,11/19/12,8,1,1
TL2.3866 (ID18),P. paniscus,11/28/12,8,1,1
TL2.3874 (ID18),P. paniscus,11/28/12,8,1,1
TL2.3873 (ID20),P. paniscus,11/28/12,8,1,1
TL2.3842 (ID27),P. paniscus,11/26/12,8,5,2
TL2.3856 (ID43),P. paniscus,11/28/12,8,2,2
TL2.3862 (ID46),P. paniscus,11/28/12,10,2,1
TL2.3943 (ID49),P. paniscus,02/13/13,8,1,1
TL2.3918 (ID50),P. paniscus,01/11/13,8,2,1
TL2.3931 (ID60),P. paniscus,02/15/13,10,1,1
TL2.3936 (ID61),P. paniscus,02/15/13,8,1,1
TL2.3942 (ID63),P. paniscus,02/15/13,8,1,1
KRpp10 (ID28),P. paniscus,10/21/06,8,1,1
BIpts54,P. t. schweifurthii,03/15/03,8,2,2
BIpts67,P. t. schweifurthii,n/a,8,4,2
BIpts93,P. t. schweifurthii,03/15/03,8,3,2
BIpts260,P. t. schweifurthii,07/25/05,8,2,2
ENpts4388,P. t. schweifurthii,03/18/16,8,1,1
KSpts201,P. t. schweifurthii,12/15/04,8,2,2
LUpts2029,P. t. schweifurthii,06/30/07,8,1,1
LUpts2084,P. t. schweifurthii,08/20/07,8,2,2
PApts75,P. t. schweifurthii,05/27/03,8,1,1
PApts1039,P. t. schweifurthii,09/12/06,8,1,1
PApts1040,P. t. schweifurthii,09/12/06,8,1,1
PApts1041,P. t. schweifurthii,09/12/06,8,2,2
PApts1042,P. t. schweifurthii,09/12/06,8,2,2
PApts1044,P. t. schweifurthii,09/12/06,8,2,2
PApts1053,P. t. schweifurthii,09/15/06,8,1,1
PApts1054,P. t. schweifurthii,09/15/06,8,4,1
PApts1056,P. t. schweifurthii,09/15/06,8,2,2
PApts1058,P. t. schweifurthii,12/02/06,8,1,1
PApts1059,P. t. schweifurthii,12/02/06,8,2,2
PApts1060,P. t. schweifurthii,12/02/06,8,1,1
PApts1061,P. t. schweifurthii,12/02/06,8,1,1
PApts1062,P. t. schweifurthii,12/02/06,8,1,1
PApts1064,P. t. schweifurthii,12/06/06,8,1,1
WApts01,P. t. schweifurthii,02/22/03,8,6,1
WApts07,P. t. schweifurthii,n/a,8,1,1
WApts41,P. t. schweifurthii,03/03/17,8,2,2
WApts394,P. t. schweifurthii,12/24/05,8,2,1
WApts396,P. t. schweifurthii,12/24/05,8,1,1
WApts397,P. t. schweifurthii,12/04/05,8,6,4
WApts467,P. t. schweifurthii,03/03/06,8,1,1
WApts469,P. t. schweifurthii,03/04/06,8,1,1
WApts520,P. t. schweifurthii,03/19/06,8,1,1
WApts522,P. t. schweifurthii,03/20/06,8,1,1
WApts527,P. t. schweifurthii,03/21/06,8,2,2
WApts529,P. t. schweifurthii,03/24/06,8,1,1
WApts530,P. t. schweifurthii,03/24/06,8,1,1
WApts531,P. t. schweifurthii,03/24/06,8,2,2
WApts548,P. t. schweifurthii,03/29/06,8,2,2
WApts555,P. t. schweifurthii,03/30/06,8,1,1
WApts561,P. t. schweifurthii,03/30/06,8,1,1
WLpts99,P. t. schweifurthii,02/27/04,8,1,1
WLpts103,P. t. schweifurthii,03/01/04,8,2,2
WLpts104,P. t. schweifurthii,03/03/04,8,1,1
WLpts120,P. t. schweifurthii,04/26/04,8,4,1
WLpts125,P. t. schweifurthii,04/29/04,8,1,1
WLpts128,P. t. schweifurthii,04/29/04,8,1,1
